ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Glottolog_Name,Family_ID,Classification
Adzera,Adzera,,-6.39394,146.294,adze1240,,Adzera,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/uppe1423
Bali,Bali,,-4.89383,149.141,unea1237,,Uneapa,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/bali1280
Banoni,Banoni,,-6.23061,155.128,bann1247,,Bannoni,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/piva1237
Gapapaiwa,Gapapaiwa,,-9.73317,149.854,gapa1238,,Gapapaiwa,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/aret1241/arei1235/boan1246
Halia,Halia,,-5.26603,154.662,hali1244,,Halia,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/neha1246/nucl1750/buka1262/hali1243
Kairiru,Kairiru,,-3.34608,143.558,kair1263,,Kairiru,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/nort3206/scho1242/kair1261/kair1262
Kandas,Kandas,,-4.3652,152.781,kand1301,,Kandas,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/kand1307
Kaulong,Kaulong,,-6.08192,149.696,kaul1240,,Kaulong,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/araw1269/pasi1254
Kilivila,Kilivila,,-8.72574,151.072,kili1267,,Kilivila,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/papu1253/peri1258/kili1270/kili1266/kili1271
Kokota,Kokota,,-8.16481,159.191,koko1269,,Kokota,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/sant1458/cent2063
KoveKaliai,KoveKaliai,,-5.58623,149.63,kove1237,,Kove,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/nger1240/east2772/kali1298
Madak,Madak,,-3.34342,151.967,mada1285,,Madak,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/mada1284
Maisin,Maisin,,-9.22853,148.731,mais1250,,Maisin,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/aret1241
Manam,Manam,,-4.07921,145.033,mana1295,,Manam,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/nort3206/scho1242/kair1261/mana1294/bamm1241/mana1301
Mengen,Mengen,,-5.47036,151.373,meng1267,,Mengen,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/meng1266/mamu1256
Nakanai,Nakanai,,-5.59931,150.888,naka1262,,Nakanai,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/will1243/naka1266
Nalik,Nalik,,-2.94411,151.332,nali1244,,Nalik,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/tung1294
Notsi,Notsi,,-3.0557,151.661,nots1237,,Notsi,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/taba1270
Roviana,Roviana,,-8.20493,157.408,rovi1238,,Roviana,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/newg1239/east2761/rovi1239
Siar,Siar,,-4.62059,152.892,siar1238,,Siar-Lak,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234
Sisiqa,Sisiqa,,-7,156.83,sisi1250,,Sisiqa,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/choi1242/east2760/sout3208
Sudest,Sudest,,-11.5229,153.488,sude1239,,Sudest,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/papu1253/peri1258/nimo1245
Sursurunga,Sursurunga,,-3.99078,152.768,surs1246,,Sursurunga,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234
Taiof,Taiof,,-5.64103,154.732,sapo1253,,Saposa,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/neha1246/nucl1750/buka1262/sapo1252
Takia,Takia,,-4.69057,145.975,taki1248,,Takia,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/belr1234/bell1262/nucl1510
Teop,Teop,,-5.67474,154.971,teop1238,,Teop,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/neha1246/nucl1750/buka1262/sapo1252/tinp1238
Tigak,Tigak,,-2.70951,150.893,tiga1245,,Tigak,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/tung1294
Tolai,Tolai,,-4.30986,152.114,kuan1248,,Kuanua,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/patp1244/mini1257
Tungag,Tungag,,-2.52188,150.198,tung1290,,Tungag,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/tung1294
Yabem,Yabem,,-6.67052,147.81,yabe1254,,Yabem,aust1307,aust1307/mala1545/east2712/ocea1241/west2818/nort3206/huon1245/nort2858
